address,annualrevenue,city,createdate,customer_code,domain,dyn_account_status,hs_lastmodifieddate,hs_lead_status,hs_object_id,industry,lifecyclestage,naics_code,name,numberofemployees,state,zip,hubspot_id
,,Seattle,2025-02-05T23:09:16.204Z,C1001660,,,2025-10-28T19:46:07.162Z,,29633306696,,lead,,Cushman & Wakefield,,,,29633306696
,,Scranton,2025-02-05T23:09:16.204Z,C1001683,,,2025-09-24T19:49:25.599Z,,29645237650,,lead,,"Kane Warehousing, LLC",,,,29645237650
,,San Bernardino,2025-02-05T23:09:16.213Z,SPR1003408,,,2025-09-24T19:49:25.306Z,,29636405570,FACILITIES_SERVICES,lead,,White Glove Professionals LLC,,,,29636405570
,,Westmont,2025-02-05T23:09:16.214Z,C1001678,,,2025-10-28T19:56:02.649Z,,29635009912,,lead,,ABB Inc.,,,,29635009912
,,Hampton,2025-02-05T23:09:16.214Z,SPR1003418,,,2025-09-24T19:49:25.510Z,,29637583775,FACILITIES_SERVICES,lead,,Morrissette’s Mowing and Maintenance,,,,29637583775
,,Miami,2025-02-05T23:09:16.217Z,SPR1003426,,,2025-09-24T19:49:25.559Z,,29638820977,FACILITIES_SERVICES,lead,,Spotless Don't Strees Over Your Mess,,,,29638820977
,,Lawrenece,2025-02-05T23:09:16.217Z,SPR1003428,,,2025-09-24T19:49:25.400Z,,29638974059,FACILITIES_SERVICES,lead,,Tucan Services Corp,,,,29638974059
,,Charleston,2025-02-05T23:09:16.218Z,SPR1003395,,,2025-10-27T23:47:59.223Z,,29634701872,FACILITIES_SERVICES,lead,,Danys Services LLC,,,,29634701872
,,Tacoma,2025-02-05T23:09:16.218Z,SPR1003399,,,2025-09-24T19:49:25.516Z,,29642999604,FACILITIES_SERVICES,lead,,AMH Janitorial Services,,,,29642999604
,,Boca Raton,2025-02-05T23:09:16.277Z,SPR1003375,,,2025-12-16T19:00:53.267Z,,29630643093,FACILITIES_SERVICES,lead,,Americas Worldwide Services Corp,,,,29630643093
,,Riverview,2025-02-05T23:09:16.277Z,SPR1003298,,,2025-09-24T19:49:25.485Z,,29630953896,FACILITIES_SERVICES,lead,,Scrub Dub & Do Cleaning Services LLC,,,,29630953896
,,Everett,2025-02-05T23:09:16.277Z,SPR1003398,,,2025-09-24T19:49:25.386Z,,29638665487,FACILITIES_SERVICES,lead,,Kairos Commercial Cleaning Services LLC,,,,29638665487
,,Bradenton,2025-02-05T23:09:16.277Z,SPR1003409,,,2025-10-27T23:48:12.056Z,,29641609040,FACILITIES_SERVICES,lead,,UNIQUE CLEANING BY M&J LLC,,,,29641609040
,,Villa Rica,2025-02-05T23:09:16.277Z,SPR1003373,,,2025-09-24T19:49:25.772Z,,29642071818,FACILITIES_SERVICES,lead,,Sweep Dreams,,,,29642071818
,,Carrollton,2025-02-05T23:09:16.277Z,C1001687,,,2025-10-28T19:56:02.671Z,,29642691997,,lead,,Vitruvian West,,,,29642691997
,,Bellevue,2025-02-05T23:09:16.277Z,C1001698,,,2025-09-24T19:49:25.451Z,,29645704631,,lead,,Freshworks,,,,29645704631
,,Clayton,2025-02-05T23:09:16.277Z,SPR1003414,,,2025-10-27T23:47:09.052Z,,29647372683,FACILITIES_SERVICES,lead,,Executive Cleaning Group LLC,,,,29647372683
,,Delano,2025-02-05T23:09:16.277Z,SPR1003421,,,2025-10-15T19:04:56.693Z,,29653174427,FACILITIES_SERVICES,lead,,KRYSSY AND JAZZY LLC,,,,29653174427
,,Garfield Heights,2025-02-05T23:09:16.277Z,SPR1003376,,,2025-09-24T19:49:25.540Z,,29654786605,FACILITIES_SERVICES,lead,,Good Faith Cleaning Solution,,,,29654786605
,,Winter Haven,2025-02-05T23:09:16.278Z,SPR1003316,,,2025-09-24T19:49:25.823Z,,29635475846,FACILITIES_SERVICES,lead,,JV Family Cleaning Services,,,,29635475846
,,Herndon,2025-02-05T23:09:16.278Z,SPR1003315,,,2025-10-27T23:48:08.443Z,,29636561291,FACILITIES_SERVICES,lead,,Cera Cleaning Services LLC,,,,29636561291
