naics_code,description,icp_fit_score,reasoning
1111,NAICS 1111 Industry,25,"NAICS 1111 represents Oilseed and Grain Farming - agricultural production operations that are fundamentally incompatible with OpenWorks' commercial cleaning model. These are outdoor farming operations (fields, silos, grain elevators) with minimal commercial building footprint, highly seasonal operations, and no standardized facility cleaning needs. Agricultural operations manage their own facilities and have no tradition of outsourcing cleaning services - this is a non-target market with no multi-location facility management opportunity."
1112,NAICS 1112 Industry,25,"NAICS 1112 covers cattle ranching and feedlots - agricultural operations with outdoor/barn facilities that have specialized cleaning needs (animal waste, feed areas, veterinary standards) far beyond OpenWorks' commercial cleaning competency. These are typically owner-operated farms or agricultural businesses that handle facility maintenance internally, not multi-location chains that outsource cleaning. This is a poor strategic fit - agricultural operations don't align with OpenWorks' core commercial cleaning model for retail, education, and operational facilities."
1113,NAICS 1113 Industry,25,"NAICS 1113 covers fruit and tree nut farming - agricultural operations including orchards, groves, and vineyards. This is a poor fit for OpenWorks as these are outdoor agricultural facilities with specialized cleaning needs (packing houses, processing areas) rather than standard commercial buildings. The industry involves seasonal operations, dispersed rural locations, and typically handles facility maintenance internally rather than outsourcing to commercial cleaning services."
1114,NAICS 1114 Industry,25,"NAICS 1114 covers greenhouse, nursery, and floriculture production - agricultural operations with specialized growing environments, irrigation systems, and horticultural requirements that fall outside OpenWorks' core commercial cleaning competency. These are production facilities (agriculture/farming) rather than consumer-facing retail or operational facilities, with cleaning needs tied to plant care and growing processes rather than standard commercial maintenance. The agricultural nature, specialized requirements, and lack of multi-location chains make this a poor strategic fit despite the facility count."
1119,NAICS 1119 Industry,25,"NAICS 1119 covers 'Other Crop Farming' including tobacco, hay, peanuts, sugar crops, and specialty crops. This is agricultural production with outdoor/field operations, not commercial buildings requiring standard cleaning services. These are working farms with minimal facility footprints, no multi-location chains, and cleaning needs limited to small office/storage buildings - fundamentally misaligned with OpenWorks' commercial facility maintenance model."
1121,NAICS 1121 Industry,25,"NAICS 1121 covers cattle ranching and feedlots - agricultural operations that are fundamentally incompatible with OpenWorks' commercial cleaning model. These are outdoor agricultural facilities (pastures, feedlots, barns) requiring specialized agricultural maintenance rather than standard commercial cleaning services. The industry involves livestock operations with specialized sanitation needs, manure management, and agricultural protocols that fall completely outside OpenWorks' core competency in commercial facility cleaning."
1122,NAICS 1122 Industry,25,"NAICS 1122 covers hog and pig farming operations - agricultural production facilities with specialized biosecurity, waste management, and sanitation requirements far beyond standard commercial cleaning. These are rural farming operations with 440 total locations nationwide (extremely small market), typically owner-operated with internal staff handling facility maintenance, and cleaning needs are agricultural/veterinary in nature rather than commercial janitorial services. This is a poor strategic fit - agricultural production is outside OpenWorks' core competency of multi-location commercial facilities."
1123,NAICS 1123 Industry,25,"NAICS 1123 covers poultry and egg production - agricultural operations including hatcheries, chicken farms, and egg production facilities. These are specialized agricultural/industrial environments with biosecurity protocols, animal waste management, and sanitation requirements far beyond standard commercial cleaning. The small market size (1,720 locations nationwide) and highly specialized nature of agricultural facility maintenance make this a poor strategic fit for OpenWorks' core commercial cleaning competencies."
1124,NAICS 1124 Industry,25,"NAICS 1124 covers sheep and goat farming operations - agricultural production facilities that are fundamentally incompatible with OpenWorks' commercial cleaning model. These are outdoor farming operations with barns/shelters requiring specialized agricultural cleaning (manure removal, livestock sanitation) rather than standard commercial facility maintenance. With only 275 total locations nationwide and highly specialized requirements, this represents a very poor strategic fit for OpenWorks' core competencies in multi-location commercial cleaning."
1125,NAICS 1125 Industry,25,"NAICS 1125 represents aquaculture operations (fish farms, shellfish farming, hatcheries), which are specialized agricultural/production facilities with unique environmental and biosecurity requirements beyond standard commercial cleaning. These are typically single-location operations with small facility footprints relative to production areas, and cleaning needs are highly specialized (water quality, disease prevention, food safety protocols) rather than standard janitorial services. The industry lacks the multi-location retail/operational profile that drives OpenWorks success, and the 2,408 total U.S. locations indicate a small, fragmented market without the scale or standardization needed for strategic focus."
