"company_id","company_name","primary_naics","naics_4digit","is_customer","scoring_path","naics_attractiveness_score","company_opportunity_score","final_score","scoring_reason","city","state","location_employee_size","sales_volume","icp_fit_score","buildings_score","revenue_score","growth_score","contact_score","icp_fit_reasoning","icp_recommendation","icp_confidence","expansion_score","churn_score","profitability_score","tickets_score","rank","has_research_doc","research_recency"
"830450680","Monterey Mushrooms, LLC","11141101","1114","False","Prospect","25.8","70.2","52.4","Prospect (ICP-based): 4/4 factors with data","Watsonville","CA","3200.0","250000000.0","63","49.7","100.0","100.0","75.0","Monterey Mushrooms operates 11 locations with $250M revenue and 3,200 employees, placing them in the 10-19 location tier (75-89 base points). Agriculture/mushroom farming (NAICS 1114) has facility cleaning needs but is outside core verticals. All web research failed, providing no visibility into centralized operations or outsourcing readiness.","Medium Priority","low","","","","","1","False",""
"2786630","Chem Gro, Inc","11199801","1119","False","Prospect","31.9","54.3","45.3","Prospect (ICP-based): 4/4 factors with data","Houghton","IA","526.0","24343325.0","42","35.8","82.5","100.0","75.0","Agricultural chemical manufacturing with 5 locations (marginal multi-site fit) and $24M revenue. NAICS 11199801 (agriculture support) is outside core verticals. No web research data to validate outsourcing readiness or centralized operations.","Low Priority","low","","","","","1","False",""
"718504094","SarTec Corporation","11199801","1119","False","Prospect","31.9","47.1","41.0","Prospect (ICP-based): 4/4 factors with data","Anoka","MN","75.0","29070586.0","30","27.7","85.1","100.0","75.0","Agriculture company with 3 locations and 75 employees is below threshold for meaningful facility services.","Poor Fit","low","","","","","2","False",""
"2701795","Canby Farmers Grain Company","11199801","1119","False","Prospect","31.9","43.4","38.8","Prospect (ICP-based): 2/4 factors with data","Canby","MN","","","40","35.8","50.0","50.0","75.0","Agricultural grain company with 5 locations but unknown revenue/employees, limited facility services potential.","Low Priority","low","","","","","3","False",""
"7529217","Perdue Farms Inc","11199803","1119","False","Prospect","31.9","84.9","63.7","Prospect (ICP-based): 4/4 factors with data","Salisbury","MD","21215.0","4600000000.0","78","85.5","100.0","100.0","75.0","Perdue Farms is a massive operation with 71 locations and $4.6B revenue - excellent multi-site fit (90-100 baseline for location count). Food processing/poultry manufacturing typically has significant OSHA compliance and sanitation requirements. Size suggests sophisticated centralized operations, though research failure prevents confirmation of vendor consolidation readiness.","High Priority","medium","","","","","1","False",""
"419525494","Christensen Farms","11199803","1119","False","Prospect","31.9","60.7","49.2","Prospect (ICP-based): 4/4 factors with data","Sleepy Eye","MN","1000.0","22486446.0","52","43.9","81.3","100.0","75.0","Christensen Farms has only 8 locations, which is below OpenWorks' sweet spot for multi-site consolidation. Agriculture/livestock operations (NAICS 1119) are outside core verticals and may have minimal facility cleaning needs compared to manufacturing. Revenue ($22.5M) and employee count (1,000) suggest mid-market operations.","Medium Priority","low","","","","","2","False",""
"422012724","Robinson Enterprises, Inc","11331003","1133","False","Prospect","27.8","48.0","39.9","Prospect (ICP-based): 4/4 factors with data","Nevada City","CA","458.0","34160665.0","28","35.8","87.5","100.0","75.0","Robinson Enterprises is in logging/timber (NAICS 1133) - forestry operations, not a target vertical. While they have 5 locations, forestry/logging operations are outdoor industrial sites, not commercial facilities requiring janitorial services. Completely outside OpenWorks' service scope.","Poor Fit","medium","","","","","1","False",""
"402268088","Cingo","11421001","1142","False","Prospect","28.5","48.1","40.3","Prospect (ICP-based): 4/4 factors with data","Greensboro","GA","991.0","31653119.0","35","32.2","86.4","100.0","25.0","Hunting/trapping operation with 4 locations but declining and wrong industry focus.","Poor Fit","low","","","","","1","False",""
"133288639","Gargiulo, Inc","11511410","1151","False","Prospect","29.6","59.9","47.8","Prospect (ICP-based): 4/4 factors with data","Naples","FL","7066.0","100202310.0","48","35.8","100.0","100.0","75.0","Gargiulo is an agricultural support services company with only 5 locations and $100M revenue, placing them at the lower end of multi-site fit (60-74 base points). The 7,066 employee count relative to 5 locations suggests field/farm operations rather than traditional facilities. All web research failed, and agriculture support is outside core verticals.","Low Priority","low","","","","","1","False",""
"401740642","Ben Hill Griffin, Inc","11511602","1151","False","Prospect","29.6","49.3","41.4","Prospect (ICP-based): 4/4 factors with data","Frostproof","FL","400.0","175000000.0","30","27.7","100.0","100.0","75.0","Large agricultural operation with $175M revenue but only 3 locations; wrong industry for facility services.","Low Priority","low","","","","","1","False",""
"474949070","CHS Brandon","11511606","1151","False","Prospect","29.6","50.6","42.2","Prospect (ICP-based): 4/4 factors with data","Brandon","SD","97.0","11577500.0","38","35.8","71.4","100.0","75.0","CHS Brandon has only 5 locations (marginal multi-site fit) and $11.6M revenue. NAICS 11511606 (support activities for animal production) is non-core agricultural vertical. Failed web research and cooperative structure suggest decentralized purchasing model unlikely to align with OpenWorks' centralized buyer profile.","Poor Fit","low","","","","","1","False",""
"464973056","Augusta Fuel Company","21112002","2111","False","Prospect","29.5","45.6","39.2","Prospect (ICP-based): 4/4 factors with data","Augusta","ME","70.0","377059277.0","25","22.0","100.0","100.0","75.0","Fuel company with high revenue but completely wrong industry for facility services.","Poor Fit","low","","","","","1","False",""
"6707160","ASARCO LLC","21239010","2123","False","Prospect","33.2","67.3","53.7","Prospect (ICP-based): 4/4 factors with data","Sahuarita","AZ","2500.0","2200000000.0","58","48.0","100.0","100.0","75.0","ASARCO LLC has 10 locations (lower end of multi-site fit) but $2.2B revenue indicating major operational sophistication. Mining NAICS 21239010 is not a core vertical, though manufacturing-adjacent cleaning needs could exist. Web research failure prevents validation of centralized operations or OSHA compliance burden.","Medium Priority","low","","","","","1","False",""
"399219906","DeepWell Energy Services, LLC","21311101","2131","False","Prospect","33.7","58.0","48.3","Prospect (ICP-based): 4/4 factors with data","Columbia","MS","2127.0","130011529.0","35","58.9","100.0","100.0","75.0","Oil/gas services company in decline - wrong industry focus despite 18 locations and large workforce.","Poor Fit","low","","","","","1","False",""
